# hostname=localhost.localdomain cpu_model="AMD Ryzen 9 9950X3D 16-Core Processor" ram_gb=46.2 date=2026-06-18T14:47:31Z
alg,chunk_size_kb,trial,throughput_mbs
k12,256,10,1599.0337869573439
k12,256,11,1599.912114202711
k12,256,12,1599.228887438308
k12,256,13,1582.402723617969
k12,256,14,1598.936254566969
k12,256,15,1599.424035534079
k12,256,16,1598.2441165711498
k12,256,17,1597.5720493147012
k12,256,18,1597.172972643636
k12,256,19,1580.8663454406203
k12,256,20,1597.1827038488018
k12,256,21,1597.172972643636
k12,256,22,1592.4189041428745
k12,256,23,1592.989833557161
k12,256,24,1593.8712227153887
k12,256,25,1577.916488596486
k12,256,26,1594.2589551784954
k12,256,27,1593.677427199222
k12,256,28,1593.677427199222
k12,256,29,1596.501805735723
k12,1024,0,1588.1138633730395
k12,1024,1,1586.4535612052844
k12,1024,2,1592.728509976426
k12,1024,3,1589.4161800995569
k12,1024,4,1588.9585612670742
k12,1024,5,1592.8035107493154
k12,1024,6,1590.6723725468482
k12,1024,7,1589.028391310607
k12,1024,8,1594.2104783044972
k12,1024,9,1547.6040073913582
k12,1024,10,1585.3238528212487
k12,1024,11,1593.4086139641468
k12,1024,12,1587.3661773966962
k12,1024,13,1582.5197442193544
k12,1024,14,1592.2448037512604
k12,1024,15,1588.2341358496853
k12,1024,16,1588.2100798970048
k12,1024,17,1592.3173409544404
k12,1024,18,1587.536808956783
k12,1024,19,1586.0432261880092
k12,1024,20,1589.801747821288
k12,1024,21,1586.091207625997
k12,1024,22,1586.237568943765
k12,1024,23,1588.0417086302334
k12,1024,24,1550.3085607496532
k12,1024,25,1579.1046214640257
k12,1024,26,1599.5704278636108
k12,1024,27,1601.334119307162
k12,1024,28,1614.2741680971112
k12,1024,29,1607.1337157886187
