# hostname=COG cpu_model="AMD Ryzen 9 9950X3D 16-Core Processor" ram_gb=46.2 date=2026-06-24T11:15:51Z
source,scenario,n_chunks,chunk_size_kb,wall_time_ms,peak_rss_mb,companion_bytes,trial,hostname,disk_type
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,12,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,13,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,14,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,15,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,16,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,17,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,18,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,19,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,20,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,21,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,22,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,23,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,24,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,25,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,26,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,27,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,28,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,29,COG,ssd
synthetic,update_leaf_inplace,54608,64.0,0.002,13659.7,0,30,COG,ssd
synthetic,full_rebuild,54608,64.0,631.516,13659.7,0,1,COG,ssd
synthetic,full_rebuild,54608,64.0,630.416,13659.7,0,2,COG,ssd
synthetic,full_rebuild,54608,64.0,629.440,13659.7,0,3,COG,ssd
synthetic,full_rebuild,54608,64.0,629.207,13659.7,0,4,COG,ssd
synthetic,full_rebuild,54608,64.0,627.570,13659.7,0,5,COG,ssd
synthetic,full_rebuild,54608,64.0,626.944,13659.7,0,6,COG,ssd
synthetic,full_rebuild,54608,64.0,626.556,13659.7,0,7,COG,ssd
synthetic,full_rebuild,54608,64.0,625.913,13659.7,0,8,COG,ssd
synthetic,full_rebuild,54608,64.0,629.018,13659.7,0,9,COG,ssd
synthetic,full_rebuild,54608,64.0,627.812,13659.7,0,10,COG,ssd
synthetic,full_rebuild,54608,64.0,627.093,13659.7,0,11,COG,ssd
synthetic,full_rebuild,54608,64.0,626.322,13659.7,0,12,COG,ssd
synthetic,full_rebuild,54608,64.0,627.978,13659.7,0,13,COG,ssd
synthetic,full_rebuild,54608,64.0,628.224,13659.7,0,14,COG,ssd
synthetic,full_rebuild,54608,64.0,628.447,13659.7,0,15,COG,ssd
synthetic,full_rebuild,54608,64.0,628.181,13659.7,0,16,COG,ssd
synthetic,full_rebuild,54608,64.0,628.868,13659.7,0,17,COG,ssd
synthetic,full_rebuild,54608,64.0,629.462,13659.7,0,18,COG,ssd
synthetic,full_rebuild,54608,64.0,626.377,13659.7,0,19,COG,ssd
synthetic,full_rebuild,54608,64.0,626.445,13659.7,0,20,COG,ssd
synthetic,full_rebuild,54608,64.0,626.959,13659.7,0,21,COG,ssd
synthetic,full_rebuild,54608,64.0,627.578,13659.7,0,22,COG,ssd
synthetic,full_rebuild,54608,64.0,626.319,13659.7,0,23,COG,ssd
synthetic,full_rebuild,54608,64.0,629.316,13659.7,0,24,COG,ssd
synthetic,full_rebuild,54608,64.0,629.945,13659.7,0,25,COG,ssd
synthetic,full_rebuild,54608,64.0,634.272,13659.7,0,26,COG,ssd
synthetic,full_rebuild,54608,64.0,627.439,13659.7,0,27,COG,ssd
synthetic,full_rebuild,54608,64.0,630.284,13659.7,0,28,COG,ssd
synthetic,full_rebuild,54608,64.0,628.595,13659.7,0,29,COG,ssd
synthetic,full_rebuild,54608,64.0,629.096,13659.7,0,30,COG,ssd
synthetic,verify_dataset,13652,256.0,428.375,13659.7,0,1,COG,ssd
synthetic,verify_dataset,13652,256.0,431.388,13659.7,0,2,COG,ssd
synthetic,verify_dataset,13652,256.0,433.734,13659.7,0,3,COG,ssd
synthetic,verify_dataset,13652,256.0,431.897,13659.7,0,4,COG,ssd
