# hostname=DESKTOP-0N3E8CV cpu_model="AMD Ryzen 9 7900X3D 12-Core Processor" date=2026-07-07T10:11:31Z
scheme,platform,n_datasets,sign_ms,verify_ms,sig_size_bytes,pubkey_size_bytes,header_overhead_bytes,trial
ed25519,x86_avx512,10000000,0.012,0.023,64,32,96,28
ed25519,x86_avx512,10000000,0.012,0.023,64,32,96,29
ed25519,x86_avx512,10000000,0.012,0.023,64,32,96,30
hybrid_mldsa65,x86_avx512,10000000,0.180,0.123,3374,1984,5358,1
hybrid_mldsa65,x86_avx512,10000000,0.180,0.122,3374,1984,5358,2
hybrid_mldsa65,x86_avx512,10000000,0.191,0.124,3374,1984,5358,3
hybrid_mldsa65,x86_avx512,10000000,0.180,0.129,3374,1984,5358,4
hybrid_mldsa65,x86_avx512,10000000,0.184,0.128,3374,1984,5358,5
hybrid_mldsa65,x86_avx512,10000000,0.204,0.124,3374,1984,5358,6
hybrid_mldsa65,x86_avx512,10000000,0.180,0.126,3374,1984,5358,7
hybrid_mldsa65,x86_avx512,10000000,0.179,0.121,3374,1984,5358,8
hybrid_mldsa65,x86_avx512,10000000,0.189,0.169,3374,1984,5358,9
hybrid_mldsa65,x86_avx512,10000000,0.181,0.127,3374,1984,5358,10
hybrid_mldsa65,x86_avx512,10000000,0.179,0.122,3374,1984,5358,11
hybrid_mldsa65,x86_avx512,10000000,0.180,0.122,3374,1984,5358,12
hybrid_mldsa65,x86_avx512,10000000,0.180,0.122,3374,1984,5358,13
hybrid_mldsa65,x86_avx512,10000000,0.183,0.122,3374,1984,5358,14
hybrid_mldsa65,x86_avx512,10000000,0.179,0.130,3374,1984,5358,15
hybrid_mldsa65,x86_avx512,10000000,0.181,0.122,3374,1984,5358,16
hybrid_mldsa65,x86_avx512,10000000,0.180,0.123,3374,1984,5358,17
hybrid_mldsa65,x86_avx512,10000000,0.179,0.148,3374,1984,5358,18
hybrid_mldsa65,x86_avx512,10000000,0.181,0.122,3374,1984,5358,19
hybrid_mldsa65,x86_avx512,10000000,0.187,0.123,3374,1984,5358,20
hybrid_mldsa65,x86_avx512,10000000,0.179,0.121,3374,1984,5358,21
hybrid_mldsa65,x86_avx512,10000000,0.190,0.123,3374,1984,5358,22
hybrid_mldsa65,x86_avx512,10000000,0.180,0.121,3374,1984,5358,23
hybrid_mldsa65,x86_avx512,10000000,0.179,0.121,3374,1984,5358,24
hybrid_mldsa65,x86_avx512,10000000,0.179,0.121,3374,1984,5358,25
hybrid_mldsa65,x86_avx512,10000000,0.179,0.122,3374,1984,5358,26
hybrid_mldsa65,x86_avx512,10000000,0.179,0.121,3374,1984,5358,27
hybrid_mldsa65,x86_avx512,10000000,0.179,0.131,3374,1984,5358,28
hybrid_mldsa65,x86_avx512,10000000,0.181,0.122,3374,1984,5358,29
hybrid_mldsa65,x86_avx512,10000000,0.179,0.121,3374,1984,5358,30
